mcc_code,description,category
6050,Quasi Cash-Member Financial Institution,Miscellaneous Stores
6051,"Quasi Cash - Merchant (e.g., travelers cheques, foreign currency, money orders)",Miscellaneous Stores
6211,Securities - Brokers/Dealers,Miscellaneous Stores
6236,Aero Servicio Carabobo,Miscellaneous Stores
6300,"Insurance Sales, Underwriting, and Premiums",Miscellaneous Stores
6381,Insurance Premiums,Miscellaneous Stores
6513,Real Estate Agents and Managers - Rentals,Miscellaneous Stores
6529,Remote Stored Value Load Member Financial Institution,Miscellaneous Stores
6530,Remove Stored Value Load Merchant,Miscellaneous Stores
6535,Value Purchase-Member Financial Institution,Miscellaneous Stores
6536,MoneySend Intracountry,Miscellaneous Stores
6537,MoneySend Intercountry,Miscellaneous Stores
6538,MoneySend Funding,Miscellaneous Stores
6539,Funding Transaction (Excluding MoneySend),Miscellaneous Stores
6540,POI (Point of Interaction) Funding Transactions (Excluding MoneySend),Miscellaneous Stores
6611,Overpayments,Miscellaneous Stores
6760,Savings Bonds,Miscellaneous Stores
7011,"Lodging - Hotels, Motels, Resorts - Not Elsewhere Classified",Miscellaneous Stores
7012,Timeshares,Miscellaneous Stores
7032,Recreational and Sporting Camps,Miscellaneous Stores
7033,Campgrounds and Trailer Parks,Miscellaneous Stores
7210,"Cleaning, Garment and Laundry Services",Miscellaneous Stores
7211,Laundry Services - Family and Commercial,Miscellaneous Stores
7216,Dry Cleaners,Miscellaneous Stores
7217,Carpet and Upholstery Cleaning,Miscellaneous Stores
7221,Photographic Studios,Miscellaneous Stores
7230,Barber and Beauty Shops,Miscellaneous Stores
7251,"Hat Cleaning Shops, Shoe Repair Shops, Shoe Shine Parlors",Miscellaneous Stores
7261,Funeral Service and Crematories,Miscellaneous Stores
7273,Dating Services,Miscellaneous Stores
7276,Tax Preparation Service,Miscellaneous Stores
7277,"Debt, Marriage, Personal - Counseling Service",Miscellaneous Stores
7278,"Buying/Shopping Clubs, Services",Miscellaneous Stores
7280,Hospital Patient-Personal Funds Withdrawal,Miscellaneous Stores
7295,Babysitting Services,Miscellaneous Stores
7296,"Clothing Rental - Costumes, Uniforms, Formal Wear",Miscellaneous Stores
7297,Massage Parlors,Miscellaneous Stores
7298,Health and Beauty Spas,Miscellaneous Stores
7299,Other Services - Not Elsewhere Classified,Miscellaneous Stores
7311,Advertising Services,Business Services
7321,Consumer Credit Reporting Agencies,Business Services
7332,Blueprinting and Photocopying Services,Business Services
7333,"Commercial Art, Graphics, Photography",Business Services
7338,"Quick Copy, Reproduction and Blueprinting Services",Business Services
7339,Stenographic and Secretarial Support Services,Business Services
7342,Exterminating and Disinfecting Services,Business Services
7349,"Cleaning and Maintenance, Janitorial Services",Business Services
7361,"Employment Agencies, Temporary Help Services",Business Services
7372,"Computer Programming, Data Processing, and Integrated Systems Design Services",Business Services
7375,Information Retrieval Services,Business Services
7379,"Computer Maintenance, Repair, and Services - Not Elsewhere Classified",Business Services
7392,"Consulting, Management, and Public Relations Services",Business Services
7393,"Detective Agencies, Protective Agencies, Security Services including Armored Cars, Guard Dogs",Business Services
7394,"Equipment Rental and Leasing Services, Furniture Rental, Tool Rental",Business Services
7395,"Photo Developing, Photofinishing Laboratories",Business Services
7399,Business Services - Not Elsewhere Classified,Business Services
7512,Automobile Rental Agency - Not Elsewhere Classified,Business Services
7513,Truck Rental,Business Services
7519,Motor Home and Recreational Vehicle Rental,Business Services
7523,Automobile Parking Lots and Garages,Business Services
7524,Express Payment Service Merchants-Parking Lots and Garages,Business Services
7531,Automotive Body Repair Shops,Business Services
7534,Tire Retreading and Repair Shops,Business Services
7535,Automotive Paint Shops,Business Services
7538,Automotive Service Shops,Business Services
7542,Car Washes,Business Services
7549,Towing Services,Business Services
7622,Electronic Repair Shops,Business Services
7623,Air Conditioning and Refrigeration Repair Shops,Business Services
7629,"Appliance Repair Shops, Electrical and Small",Business Services
7631,"Clock, Jewelry, and Watch Repair Shops",Business Services
7641,"Furniture - Reupholstery, Repair and Refinishing",Business Services
7692,Welding Repair,Business Services
7699,Miscellaneous Repair Shops and Related Services,Business Services
7800,Government Owned Lottery,Business Services
7801,Government-Licensed Casinos (Online or Internet Gambling),Business Services
7802,Government-Licensed Horse/Dog Racing,Business Services
7829,Motion Picture and Video Tape Production and Distribution,Business Services
7832,Motion Picture Theaters,Business Services
7833,Express Payment Service - Motion Picture Theater,Business Services
7841,Video Entertainment Rental Stores (DVD/Video Tape Rental Stores),Business Services
7911,"Dance Halls, Studios and Schools",Business Services
7922,"Theatrical Producers (except Motion Pictures), Ticket Agencies",Business Services
7929,"Bands, Orchestras, and Miscellaneous Entertainers - Not Elsewhere Classified",Business Services
7932,Pool and Billiard Establishments,Business Services
7933,Bowling Alleys,Business Services
7941,"Athletic Fields, Commercial Sports, Professional Sports Clubs, Sports Promoters",Business Services
7991,Tourist Attractions and Exhibits,Business Services
7992,"Golf Courses, Public",Business Services
7993,Video Amusement Game Supplies,Business Services
7994,Video Game Arcades/Establishments,Business Services
7995,Gambling Transactions (Betting),Business Services
7996,"Amusement Parks, Carnivals, Circuses, Fortune Tellers",Business Services
7997,"Clubs - Country Clubs, Membership (Athletic, Recreation, Sports), Private Golf Courses",Business Services
7998,"Aquariums, Dolphinariums, Zoos, and Seaquariums",Business Services
7999,Recreation Services - Not Elsewhere Classified,Business Services
8011,Doctors - Not Elsewhere Classified,Professional Services and Membership Organizations
8021,"Dentists, Orthodontists",Professional Services and Membership Organizations
8031,Osteopathic Physicians,Professional Services and Membership Organizations
8041,Chiropractors,Professional Services and Membership Organizations
8042,"Optometrists, Ophthalmologists",Professional Services and Membership Organizations
8043,"Opticians, Opticians Goods, and Eyeglasses",Professional Services and Membership Organizations
8044,Optical Goods and Eyeglasses (TSYS specific in Citi),Professional Services and Membership Organizations
8049,"Chiropodists, Podiatrists",Professional Services and Membership Organizations
8050,Nursing and Personal Care Facilities,Professional Services and Membership Organizations
8062,Hospitals,Professional Services and Membership Organizations
8071,Dental and Medical Laboratories,Professional Services and Membership Organizations
8099,"Health Practitioners, Medical Services - Not Elsewhere Classified",Professional Services and Membership Organizations
8111,"Attorneys, Legal Services",Professional Services and Membership Organizations
8211,"Schools, Elementary and Secondary",Professional Services and Membership Organizations
8220,"Colleges, Universities, Professional Schools, and Junior Colleges",Professional Services and Membership Organizations
8241,"Schools, Correspondence",Professional Services and Membership Organizations
8244,"Schools, Business and Secretarial",Professional Services and Membership Organizations
8249,"Schools, Trade and Vocational",Professional Services and Membership Organizations
8299,Schools and Educational Services - Not Elsewhere Classified,Professional Services and Membership Organizations
8351,Child Care Services,Professional Services and Membership Organizations
8398,"Organizations, Charitable and Social Service",Professional Services and Membership Organizations
8641,"Associations - Civic, Social, and Fraternal",Professional Services and Membership Organizations
8651,"Organizations, Political",Professional Services and Membership Organizations
8661,"Organizations, Religious",Professional Services and Membership Organizations
8675,Automobile Associations,Professional Services and Membership Organizations
8699,"Organizations, Membership - Not Elsewhere Classified",Professional Services and Membership Organizations
8734,Testing Laboratories (Non-Medical),Professional Services and Membership Organizations
8743,Testing Laboratories (Non-Medical) (TSYS specific in Citi),Professional Services and Membership Organizations
8911,"Architectural, Engineering, and Surveying Services",Professional Services and Membership Organizations
8931,"Accounting, Auditing, and Bookkeeping Services",Professional Services and Membership Organizations
8999,Professional Services - Not Elsewhere Classified,Professional Services and Membership Organizations
9034,I-Purchasing Pilot,Government Services
9211,Court Costs including Alimony and Child Support,Government Services
9222,Fines,Government Services
9223,Bail and Bond Payments,Government Services
9311,Tax Payments,Government Services
9399,Government Services - Not Elsewhere Classified,Government Services
9401,I-Purchasing Pilot,Government Services
9402,Postal Services - Government Only,Government Services
9405,Intra-Government Purchases-Government Only,Government Services
9700,Automated Referral Service,Government Services
9701,Visa Credential Server,Government Services
9702,GCAS Emergency Services,Government Services
9751,"UK Supermarkets, Electronic Hot File",Government Services
9752,"UK Petrol Stations, Electronic Hot File",Government Services
9754,"Gambling-Horse, Dog Racing, State Lottery",Government Services
9950,Intra-Company Purchases,Government Services
